,age,consentEnd,demographicsEnd,education,gender,gigBenefit,gigEver,gigWorkers,income,introEnd,politics,race,studyEnd,scenario0end,scenario1end,scenario2end,scenario3end,scenario4end,scenario5end,scenario6end,scenario7end,scenario8end,Day off,Direct Supervisor,Evaluation,Salary,Working Options (companies in same sector),Working hours (length),Working hours (time period),choice,eval,pid,rid
10,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",Yes,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,True,3,1074,5
11,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",An algorithm,Monthly,US$12.50 per hour,Yes,Work as much as you want/need,Totally flexible,False,3,1074,5
12,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,9am-5pm required,False,2,1074,6
13,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",Yes,Monthly,US$12.50 per hour,Yes,Minimum 8h,Totally flexible,True,2,1074,6
14,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",An algorithm,Yearly,Fixed US$500.00,Yes,Minimum 4h,Totally flexible,True,4,1074,7
15,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",No,Yearly,US$12.50 per hour,No,Minimum 8h,Totally flexible,False,3,1074,7
16,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",No,Monthly,Fixed US$500.00,No,Work as much as you want/need,Totally flexible,True,4,1074,8
17,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Paid, but following company policies",No,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,Totally flexible,False,1,1074,8
18,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",No,Monthly,US$12.50 per hour,Yes,Minimum 4h,Totally flexible,True,4,1074,9
19,25-34 years old,2218,572057,Bachelor's degree or lower,Male,Yes,No,Employees,"$60,000-$79,999",3261,Somewhat liberal,Asian,302425,68406,106156,128103,149427,183960,203187,229822,258080,274268,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Work as much as you want/need,Totally flexible,False,2,1074,9
20,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",An algorithm,Yearly,US$12.50 per hour,No,Work as much as you want/need,Totally flexible,True,5,1300,0
21,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",No,Monthly,US$12.50 per hour,No,Minimum 8h,Totally flexible,False,4,1300,0
22,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Yearly,Fixed US$500.00,No,Minimum 4h,Totally flexible,False,1,1300,1
23,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,9am-5pm required,True,2,1300,1
24,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",Yes,Yearly,US$12.50 per hour,No,Work as much as you want/need,Totally flexible,True,4,1300,2
25,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",No,Yearly,Fixed US$500.00,No,Work as much as you want/need,Totally flexible,False,2,1300,2
26,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,False,2,1300,3
27,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",An algorithm,Monthly,US$12.50 per hour,No,Work as much as you want/need,Totally flexible,True,5,1300,3
28,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Daily,Fixed US$500.00,No,Work as much as you want/need,Totally flexible,False,1,1300,4
29,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Minimum 4h,Totally flexible,True,4,1300,4
30,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Yearly,Fixed US$500.00,No,Minimum 8h,9am-5pm required,False,1,1300,5
31,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,True,4,1300,5
32,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",An algorithm,Monthly,US$12.50 per hour,Yes,Minimum 4h,Totally flexible,True,4,1300,6
33,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Monthly,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,False,3,1300,6
34,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,No,Work as much as you want/need,Totally flexible,True,2,1300,7
35,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",No,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,False,1,1300,7
36,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",No,Daily,Fixed US$500.00,Yes,Minimum 8h,Totally flexible,False,1,1300,8
37,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",Yes,Daily,US$12.50 per hour,No,Minimum 8h,9am-5pm required,True,3,1300,8
38,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Unpaid, but whenever you want",Yes,Yearly,Fixed US$500.00,Yes,Minimum 8h,Totally flexible,False,1,1300,9
39,25-34 years old,39130,670710,Graduate degree,Female,Yes,No,I am not sure,"$20,000-$39,999",76509,Moderate,Caucasian,609657,160596,238950,295933,367142,399805,435915,502016,560865,583005,"Paid, but following company policies",Yes,Monthly,US$12.50 per hour,Yes,Minimum 4h,Totally flexible,True,4,1300,9
40,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,True,4,2154,0
41,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Work as much as you want/need,Totally flexible,False,4,2154,0
42,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",No,Yearly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,True,4,2154,1
43,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,Yes,Work as much as you want/need,Totally flexible,False,3,2154,1
44,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,Totally flexible,True,4,2154,2
45,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",An algorithm,Daily,Fixed US$500.00,No,Minimum 8h,9am-5pm required,False,4,2154,2
46,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",An algorithm,Daily,Fixed US$500.00,Yes,Minimum 8h,9am-5pm required,False,4,2154,3
47,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",Yes,Monthly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,True,4,2154,3
48,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",An algorithm,Monthly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,True,4,2154,4
49,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",No,Daily,US$12.50 per hour,No,Minimum 4h,Totally flexible,False,3,2154,4
50,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",No,Daily,Fixed US$250.00 + US$6.25 per hour,No,Work as much as you want/need,Totally flexible,False,3,2154,5
51,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",Yes,Monthly,US$12.50 per hour,No,Minimum 8h,9am-5pm required,True,4,2154,5
52,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",Yes,Monthly,US$12.50 per hour,No,Minimum 8h,Totally flexible,False,3,2154,6
53,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",Yes,Daily,US$12.50 per hour,No,Minimum 4h,Totally flexible,True,4,2154,6
54,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,Totally flexible,True,4,2154,7
55,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Work as much as you want/need,Totally flexible,False,4,2154,7
56,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",Yes,Daily,US$12.50 per hour,Yes,Minimum 4h,Totally flexible,False,3,2154,8
57,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",Yes,Yearly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,Totally flexible,True,4,2154,8
58,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Unpaid, but whenever you want",An algorithm,Daily,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,False,4,2154,9
59,18-24 years old,22099,309320,Bachelor's degree or lower,Male,Yes,No,Contractors,Prefer not to respond,30160,Prefer not to respond,Asian,247437,80312,125088,151576,164041,174602,187127,203389,213067,226832,"Paid, but following company policies",An algorithm,Yearly,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,True,4,2154,9
60,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,False,3,2942,0
61,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",No,Monthly,Fixed US$500.00,Yes,Minimum 4h,Totally flexible,True,3,2942,0
62,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",An algorithm,Yearly,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,True,3,2942,1
63,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",No,Daily,Fixed US$500.00,No,Minimum 4h,Totally flexible,False,2,2942,1
64,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",No,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,False,3,2942,2
65,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",Yes,Monthly,US$12.50 per hour,No,Minimum 8h,Totally flexible,True,3,2942,2
66,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",Yes,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,True,4,2942,3
67,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",No,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,False,3,2942,3
68,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",Yes,Yearly,US$12.50 per hour,Yes,Work as much as you want/need,Totally flexible,True,3,2942,4
69,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",No,Daily,Fixed US$500.00,Yes,Minimum 4h,Totally flexible,False,3,2942,4
70,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",Yes,Yearly,US$12.50 per hour,No,Minimum 8h,9am-5pm required,True,3,2942,5
71,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",An algorithm,Daily,Fixed US$250.00 + US$6.25 per hour,No,Minimum 4h,Totally flexible,False,3,2942,5
72,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",An algorithm,Yearly,US$12.50 per hour,No,Minimum 4h,Totally flexible,True,3,2942,6
73,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",Yes,Daily,Fixed US$500.00,No,Minimum 4h,Totally flexible,False,3,2942,6
74,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",No,Daily,US$12.50 per hour,No,Work as much as you want/need,Totally flexible,False,2,2942,7
75,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",An algorithm,Monthly,Fixed US$500.00,No,Minimum 8h,9am-5pm required,True,3,2942,7
76,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",Yes,Monthly,US$12.50 per hour,No,Minimum 4h,Totally flexible,False,3,2942,8
77,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",An algorithm,Monthly,Fixed US$250.00 + US$6.25 per hour,Yes,Work as much as you want/need,Totally flexible,True,4,2942,8
78,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Paid, but following company policies",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,No,Minimum 8h,9am-5pm required,False,3,2942,9
79,25-34 years old,32345,430712,Bachelor's degree or lower,Male,Yes,No,Contractors,"Less than $20,000",56317,Somewhat liberal,Asian,371829,130697,178584,240721,273383,291288,302099,321455,338069,355398,"Unpaid, but whenever you want",An algorithm,Yearly,Fixed US$250.00 + US$6.25 per hour,Yes,Minimum 8h,Totally flexible,True,3,2942,9
80,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",No,Daily,Fixed US$250.00 + US$6.25 per hour,Yes,Work as much as you want/need,Totally flexible,False,3,4010,0
81,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",Yes,Monthly,Fixed US$250.00 + US$6.25 per hour,Yes,Work as much as you want/need,Totally flexible,True,3,4010,0
82,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",An algorithm,Yearly,US$12.50 per hour,No,Minimum 8h,9am-5pm required,False,3,4010,1
83,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",An algorithm,Daily,Fixed US$500.00,No,Work as much as you want/need,Totally flexible,True,4,4010,1
84,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",An algorithm,Yearly,US$12.50 per hour,No,Minimum 8h,9am-5pm required,False,4,4010,2
85,18-24 years old,12689,584663,Bachelor's degree or lower,Male,Yes,No,I am not sure,"Less than $20,000",65692,Moderate,Asian,530803,154591,226437,249174,314568,346981,382670,417118,472064,506357,"Unpaid, but whenever you want",An algorithm,Yearly,US$12.50 per hour,Yes,Minimum 8h,9am-5pm required,True,5,4010,2
